Reference_Year,WRRG,Type,Value
2005-2006,Grampians Central West,gardenWastage,0
2006-2007,Grampians Central West,gardenWastage,0
2007-2008,Grampians Central West,gardenWastage,0
2008-2009,Grampians Central West,gardenWastage,0
2009-2010,Grampians Central West,gardenWastage,0
2010-2011,Grampians Central West,gardenWastage,0
2011-2012,Grampians Central West,gardenWastage,0
2012-2013,Grampians Central West,gardenWastage,0
2013-2014,Grampians Central West,gardenWastage,0
2014-2015,Grampians Central West,gardenWastage,0
2015-2016,Grampians Central West,gardenWastage,0
2016-2017,Grampians Central West,gardenWastage,0
2017-2018,Grampians Central West,gardenWastage,0
2018-2019,Grampians Central West,gardenWastage,0
2001-2002,Loddon Mallee,gardenWastage,0
2002-2003,Loddon Mallee,gardenWastage,0
2003-2004,Loddon Mallee,gardenWastage,0
2004-2005,Loddon Mallee,gardenWastage,0
2005-2006,Loddon Mallee,gardenWastage,0
2006-2007,Loddon Mallee,gardenWastage,0
2007-2008,Loddon Mallee,gardenWastage,0
2008-2009,Loddon Mallee,gardenWastage,0
2009-2010,Loddon Mallee,gardenWastage,0
2010-2011,Loddon Mallee,gardenWastage,0
2011-2012,Loddon Mallee,gardenWastage,0
2012-2013,Loddon Mallee,gardenWastage,0
2013-2014,Loddon Mallee,gardenWastage,0
2014-2015,Loddon Mallee,gardenWastage,154.8301
2015-2016,Loddon Mallee,gardenWastage,-20.8
2016-2017,Loddon Mallee,gardenWastage,-142.5
2017-2018,Loddon Mallee,gardenWastage,182
2018-2019,Loddon Mallee,gardenWastage,0
2001-2002,Metropolitan,gardenWastage,442
2002-2003,Metropolitan,gardenWastage,198
2003-2004,Metropolitan,gardenWastage,8772.8299
2004-2005,Metropolitan,gardenWastage,12478.5997
2005-2006,Metropolitan,gardenWastage,4382.8105
2006-2007,Metropolitan,gardenWastage,318.1704
2007-2008,Metropolitan,gardenWastage,892.44
2008-2009,Metropolitan,gardenWastage,9608.4594
2009-2010,Metropolitan,gardenWastage,8252.9901
2010-2011,Metropolitan,gardenWastage,14371.5801
2011-2012,Metropolitan,gardenWastage,9702.4399
2012-2013,Metropolitan,gardenWastage,10891.5201
2013-2014,Metropolitan,gardenWastage,7886.9502
2014-2015,Metropolitan,gardenWastage,1231.07
2015-2016,Metropolitan,gardenWastage,2459.19
2016-2017,Metropolitan,gardenWastage,150
2017-2018,Metropolitan,gardenWastage,3
2018-2019,Metropolitan,gardenWastage,5
2001-2002,North East,gardenWastage,0
2002-2003,North East,gardenWastage,0
2003-2004,North East,gardenWastage,0
2004-2005,North East,gardenWastage,0
2005-2006,North East,gardenWastage,62
2006-2007,North East,gardenWastage,0
2007-2008,North East,gardenWastage,0
2008-2009,North East,gardenWastage,0
2009-2010,North East,gardenWastage,0
2010-2011,North East,gardenWastage,0
2011-2012,North East,gardenWastage,0
2012-2013,North East,gardenWastage,0
2013-2014,North East,gardenWastage,0
2014-2015,North East,gardenWastage,0
2015-2016,North East,gardenWastage,225.3998
2016-2017,North East,gardenWastage,170
2017-2018,North East,gardenWastage,0
2018-2019,North East,gardenWastage,50
