Reference_Year,LGA,WRRG,landFill,recyclingTotal,recyclingProcessed,gardenTotal,gardenProcessed,wasteTotal,wasteProcessed,Estimated_Adult_Population
2010-2011,Horsham,Grampians Central West ,6021.5898,1792.87,1604.125,0,0,7814.4598,1604.125,15055
2010-2011,Hume,Metropolitan ,37585,16704,14507.2998,6178,6178,60467,20685.2998,132156
2010-2011,Indigo,North East ,2889,1526,1471.6,377,377,4792,1848.6,12371
2010-2011,Kingston,Metropolitan ,29212,17180,16321,16760,12502,63152,28823,115721
2010-2011,Knox,Metropolitan ,27099,16817,15320,20926,20926,64842,36246,120851
2010-2011,Latrobe,Gippsland ,14226,8026.5,6504,11008,11008,33260.5,17512,56055
2010-2011,Loddon,Loddon Mallee ,666,610.86,610.86,0,0,1276.86,610.86,6313
2010-2011,Macedon Ranges,Loddon Mallee ,6934,4367.4502,4367.4502,0,0,11301.4502,4367.4502,31803
2010-2011,Manningham,Metropolitan ,22280.6895,13593.6201,13593.6201,17222.6504,17222.6504,53096.96,30816.2705,95022
2010-2011,Mansfield,North East ,2467.96,1287.55,1142.99,0,0,3755.51,1142.99,6433
2010-2011,Maribyrnong,Metropolitan ,18880,8155,6444,1375,1375,28410,7819,57497
2010-2011,Maroondah,Metropolitan ,19823.8008,12485,11361,14938,14938,47246.8008,26299,82604
2010-2011,Melbourne,Metropolitan ,20990.5801,7302.5498,6573,53.23,53.23,28346.3599,6626.23,93425
2010-2011,Melton,Metropolitan ,20002,10987.46,10519.46,6426,6011,37415.46,16530.46,81118
2010-2011,Mildura,Loddon Mallee ,20002,4043,3179,0,0,14195,3179,39994
2010-2011,Mitchell,Goulburn Valley ,5768.2598,3637.54,3637.54,0,0,9405.7998,3637.54,26843
2010-2011,Moira,Goulburn Valley ,5088,3485,3485,0,0,8573,3485,22907
2010-2011,Monash,Metropolitan ,27960,18517,17777,20335,20335,66812,38112,143567
2010-2011,Moonee Valley,Metropolitan ,22326,13588,12230,9175,9175,45089,21405,88201
2010-2011,Moorabool,Grampians Central West ,4819,2957.25,2868.54,0,0,7776.25,2868.54,21176
2010-2011,Moreland,Metropolitan ,29240,16272.6904,15807.6904,9647,9647,55159.6904,25454.6904,120222
2010-2011,Mornington Peninsula,Metropolitan ,28023,23000,21390,1636,1636,52659,23026,116500
2010-2011,Mount Alexander,Loddon Mallee ,3350,1681,1596,0,0,5031,1596,15005
2010-2011,Moyne,Barwon South West ,1535,1130,1050,1550,0,4215,1050,12390
2010-2011,Murrindindi,Goulburn Valley ,2232,1395,1363,0,0,3627,1363,11264
2010-2011,Nillumbik,Metropolitan ,6684.1201,7639.48,6722.7402,8042.5801,0,22366.1802,6722.7402,47714
2010-2011,Northern Grampians,Grampians Central West ,3104,1156,975,0,0,4260,975,9469
2010-2011,Port Phillip,Metropolitan ,21518,12348.5703,10990.5703,0,0,33866.5703,10990.5703,87040
2010-2011,Pyrenees,Grampians Central West ,1064,528.8,475,90,90,1682.8,565,5664
2010-2011,Queenscliffe,Barwon South West ,1227,574.04,574.04,160,160,1961.04,734.04,2655
2010-2011,South Gippsland,Gippsland ,4030.6001,1954.6,1794.8,0,0,5985.2001,1794.8,21446
2010-2011,Southern Grampians,Barwon South West ,2210,1543,1312,0,0,3753,1312,13359
2010-2011,Stonnington,Metropolitan ,22279,12646,12277,4610,4610,39535,16887,84020
2010-2011,Strathbogie,Goulburn Valley ,1789,893.31,893.31,0,0,2682.31,893.31,7993
2010-2011,Surf Coast,Barwon South West ,5624,4118.98,4118.98,3001,3001,12743.98,7119.98,19636
2010-2011,Swan Hill,Loddon Mallee ,3853,1843.77,1700,0,0,5696.77,1700,16522
2010-2011,Towong,North East ,1399,638.3,586.9,20,20,2057.3,606.9,4935
2010-2011,Wangaratta,North East ,7640,3629,3292,0,0,11269,3292,21693
2010-2011,Warrnambool,Barwon South West ,6022,4063.02,3526,0,0,10085.02,3526,25358
2010-2011,Wellington,Gippsland ,6554,4274.1499,4012.1699,0,0,10828.1499,4012.1699,33421
2010-2011,West Wimmera,Grampians Central West ,921.54,421.66,420.36,0,0,1343.2,420.36,3389
2010-2011,Whitehorse,Metropolitan ,31260,19524.8906,17884.8008,9904,9904,60688.8906,27788.8008,123147
2010-2011,Whittlesea,Metropolitan ,33786.5391,16362.2305,14210.5,10746.5699,10746.5699,60895.3395,24957.0699,121472
2010-2011,Wodonga,North East ,7526,3561,2885.2,1964,1964,13051,4849.2,28012
2010-2011,Wyndham,Metropolitan ,32669,16535.5996,14765.5996,5675,5675,54879.5996,20440.5996,117796
2010-2011,Yarra,Metropolitan ,14359,10107,9617,305,305,24771,9922,68514
2010-2011,Yarra Ranges,Metropolitan ,27976,17872,15685,6533,6533,52381,22218,112159
2010-2011,Yarriambiack,Grampians Central West ,1897,673.5,665,0,0,2570.5,665,5869
2011-2012,Alpine,North East ,2407,2045,1491,0,0,4452,1491,10279
2011-2012,Ararat,Grampians Central West ,1963.28,979.46,734.59,0,0,2942.74,734.59,9638
2011-2012,Ballarat,Grampians Central West ,20543,10137,8515,865,865,31545,9380,76437
2011-2012,Banyule,Metropolitan ,20800,14581,13453,12716,12716,48097,26169,99563
2011-2012,Bass Coast,Gippsland ,7527,5030,3550,0,0,12557,3550,26413
2011-2012,Baw Baw,Gippsland ,7601,4244,3983,3311,2980,15156,6963,34263
2011-2012,Bayside,Metropolitan ,19900,12516.8604,12516.8604,9900,9900,42316.8604,22416.8604,76362
2011-2012,Benalla,North East ,2918,1850,1650,0,0,4768,1650,11212
2011-2012,Boroondara,Metropolitan ,36310,21920.0996,21920.0996,20636,20636,78866.0996,42556.0996,135936
2011-2012,Brimbank,Metropolitan ,40659,17602,15314,11910,11910,70171,27224,150047
2011-2012,Buloke,Loddon Mallee ,1528,797,797,0,0,2325,797,5311
2011-2012,Campaspe,Goulburn Valley ,9252,4199.96,4199.96,1328,1328,14779.96,5527.96,29833
2011-2012,Cardinia,Metropolitan ,15191,7903,7903,4682.6201,4682.6201,27776.6201,12585.6201,59144
2011-2012,Casey,Metropolitan ,47310.3086,28082.5898,26000,32645.6406,32645.6406,108038.539,58645.6406,195759
2011-2012,Central Goldfields,Grampians Central West ,2513,1429.5,1358,194.97,194.97,4137.47,1552.97,10211
2011-2012,Colac-Otway,Barwon South West ,3320,1725.01,1725.01,2170,2049,7215.01,3774.01,17304
2011-2012,Corangamite,Barwon South West ,1922,1496.91,1272.8101,1490,1490,4908.91,2762.8101,13268
2011-2012,Darebin,Metropolitan ,27150,15869,15869,11708,11708,54727,27577,117251
2011-2012,East Gippsland,Gippsland ,6929.8101,4897.3799,4010.5601,4490.1802,4490.1802,16317.3702,8500.7403,35733
2011-2012,Frankston,Metropolitan ,23952,16675.9609,15256.71,12791,12791,53418.9609,28047.71,102574
2011-2012,Gannawarra,Loddon Mallee ,3159,1327.79,1227.79,0,0,4486.79,1227.79,8856
2011-2012,Glen Eira,Metropolitan ,32164,14454,14454,8296,8296,54914,22750,111068
2011-2012,Glenelg,Barwon South West ,2592.02,1508.6,1174.87,0,0,4100.62,1174.87,16601
2011-2012,Golden Plains,Grampians Central West ,4725,1885.5699,1762.36,0,0,6610.5699,1762.36,14108
2011-2012,Greater Bendigo,Loddon Mallee ,27194,10768,9838,0,0,37962,9838,81872
2011-2012,Greater Dandenong,Metropolitan ,29784,12365,11747,17323,16020,59472,27767,109714
2011-2012,Greater Geelong,Barwon South West ,40229,28614.8398,26611.8398,31893,31893,100736.8398,58504.8398,176048
2011-2012,Greater Shepparton,Goulburn Valley ,13136.96,7463.1899,7463.1899,5707.5601,5546.7598,26307.71,13009.9497,48271
2011-2012,Hepburn,Grampians Central West ,5160,680,536,0,0,5840,536,11982
2011-2012,Hindmarsh,Grampians Central West ,1455,328.87,321.68,0,0,1783.87,321.68,4755
2011-2012,Hobsons Bay,Metropolitan ,18204.4609,10299.7598,10299.7598,8296.5098,8070.6499,36800.7305,18370.4097,69506
2011-2012,Horsham,Grampians Central West ,6132,1390.83,1256.77,0,0,7522.83,1256.77,15710
2011-2012,Hume,Metropolitan ,38476,16641.1504,13354.5195,6558,6558,61675.1504,19912.5195,130851
2011-2012,Indigo,North East ,3022,1541.8,1541.8,393,393,4956.8,1934.8,12409
2011-2012,Kingston,Metropolitan ,29489,16304,15425,15553,14942,61346,30367,120064
2011-2012,Knox,Metropolitan ,27909,16984,15811,20072,20072,64965,35883,122579
2011-2012,Latrobe,Gippsland ,14337.2695,8192,7585.2002,9756.0703,9756.0703,32285.3398,17341.2705,59105
2011-2012,Loddon,Loddon Mallee ,567,827.55,800,0,0,1394.55,800,6232
2011-2012,Macedon Ranges,Loddon Mallee ,7800,4277.9502,3935,3500,3500,15577.9502,7435,32623
2011-2012,Manningham,Metropolitan ,22068,13507.79,13507.79,16808,16808,52383.79,30315.79,96456
2011-2012,Mansfield,North East ,2574.6001,1167.5601,1067.5601,0,0,3742.1602,1067.5601,6217
2011-2012,Maribyrnong,Metropolitan ,20500,6373.04,6373.04,500,490,27373.04,6863.04,61540
2011-2012,Maroondah,Metropolitan ,19344,12274,11529,14549,14549,46167,26078,84958
2011-2012,Melbourne,Metropolitan ,20885.1602,7106,6426,52.02,52.02,28043.1802,6478.02,95297
2011-2012,Melton,Metropolitan ,21675.5,11081.8701,10195.3301,6062.3398,5882.7598,38819.7099,16078.0899,85361
2011-2012,Mildura,Loddon Mallee ,10208.5,5434,5434,0,0,15642.5,5434,41291
2011-2012,Mitchell,Goulburn Valley ,6649,3834.71,3834.71,0,0,10483.71,3834.71,27430
2011-2012,Moira,Goulburn Valley ,6000,3818,3818,0,0,9818,3818,23203
2011-2012,Monash,Metropolitan ,31484,17838,17318,21643,21643,70965,38961,147732
2011-2012,Moonee Valley,Metropolitan ,22038,16079,13180,8791,8791,46908,21971,92532
2011-2012,Moorabool,Grampians Central West ,4666,2874,2644,0,0,7540,2644,22419
2011-2012,Moreland,Metropolitan ,30000,16507,14178,9766,9766,56273,23944,125042
2011-2012,Mornington Peninsula,Metropolitan ,29432,22933.6406,22933.6406,4121,4121,56486.6406,27054.6406,119627
2011-2012,Mount Alexander,Loddon Mallee ,3477,1540.33,1463.42,0,0,5017.33,1463.42,14711
2011-2012,Moyne,Barwon South West ,1735,1171,1056,1475,0,4381,1056,12798
2011-2012,Murrindindi,Goulburn Valley ,2330,1491,1462,0,0,3821,1462,11107
2011-2012,Nillumbik,Metropolitan ,7000,7615.0098,6701.21,7373,0,21988.0098,6701.21,48544
2011-2012,Northern Grampians,Grampians Central West ,3044,1200,1056,0,0,4244,1056,9617
2011-2012,Port Phillip,Metropolitan ,21518.4395,13105.2803,11755.4297,0,0,34623.7198,11755.4297,88368
2011-2012,Pyrenees,Grampians Central West ,1705,500,450,90,90,2295,540,5561
2011-2012,Queenscliffe,Barwon South West ,1338,521.67,521.67,76,76,1935.67,597.67,2783
2011-2012,South Gippsland,Gippsland ,3822,1969,1811.48,0,0,5791,1811.48,22210
2011-2012,Southern Grampians,Barwon South West ,2138,1642,1343,0,0,3780,1343,13519
2011-2012,Stonnington,Metropolitan ,21829,11633,11284,4132,4132,37594,15416,87088
2011-2012,Strathbogie,Goulburn Valley ,1774.5,823.46,823.46,0,0,2597.96,823.46,8210
2011-2012,Surf Coast,Barwon South West ,5492,4443.3101,4443.3101,2650,2650,12585.3101,7093.3101,21035
2011-2012,Swan Hill,Loddon Mallee ,3896.28,1935.73,1292.29,76.16,76.16,5908.17,1368.45,16956
2011-2012,Towong,North East ,1356,638.3,586.9,0,0,1994.3,586.9,4939
2011-2012,Wangaratta,North East ,7230.04,3476,3258,0,0,10706.04,3258,22485
2011-2012,Warrnambool,Barwon South West ,6739,4598,3908,0,0,11337,3908,26433
2011-2012,Wellington,Gippsland ,6711,3792.8301,3792.8301,0,0,10503.8301,3792.8301,34080
2011-2012,West Wimmera,Grampians Central West ,952.14,309.2,309.2,0,0,1261.34,309.2,3526
2011-2012,Whitehorse,Metropolitan ,30606,19611,17965,13035,13035,63252,31000,126570
2011-2012,Whittlesea,Metropolitan ,33935,16871,14728.3799,11225,11225,62031,25953.3799,128233
2011-2012,Wodonga,North East ,7464.7002,3712.2,3066.3,2276,2276,13452.9002,5342.3,28333
2011-2012,Wyndham,Metropolitan ,37202,16763.3008,16542.5,5215.5,5215.5,59180.8008,21758,129069
2011-2012,Yarra,Metropolitan ,14507,9492,8732,303,303,24302,9035,71402
2011-2012,Yarra Ranges,Metropolitan ,28824,18467.7109,16928.2695,8708,8708,55999.7109,25636.2695,115131
2011-2012,Yarriambiack,Grampians Central West ,1926,670,660,0,0,2596,660,5966
2012-2013,Alpine,North East ,2514,1588,1523,0,0,4102,1523,10327
2012-2013,Ararat,Grampians Central West ,1990,1043,991,0,0,3033,991,9760
2012-2013,Ballarat,Grampians Central West ,21232,10025,8429,798,798,32055,9227,77684
2012-2013,Banyule,Metropolitan ,20520,13851,12919,10657,10657,45028,23576,100115
2012-2013,Bass Coast,Gippsland ,7559,4254.8999,2759,0,0,11813.8999,2759,27043
2012-2013,Baw Baw,Gippsland ,7928.2002,4358,3928,3825.4199,3787.1658,16111.6201,7715.1658,35112
2012-2013,Bayside,Metropolitan ,19722,12488,12488,9535,9535,41745,22023,77024
2012-2013,Benalla,North East ,3268.3401,1980,1794.38,0,0,5248.3401,1794.38,11349
2012-2013,Boroondara,Metropolitan ,36930,20897,20987,19187.92,19187.92,77014.92,40174.92,137121
2012-2013,Brimbank,Metropolitan ,39944,16346,13485,9921,9921,66211,23406,152425
2012-2013,Buloke,Loddon Mallee ,1516,925,925,0,0,2441,925,5321
2012-2013,Campaspe,Goulburn Valley ,8914,4145,4145,1400,1400,14459,5545,30135
2012-2013,Cardinia,Metropolitan ,15435.4805,8433.6104,8433.6104,4870,4870,28739.0909,13303.6104,62386
2012-2013,Casey,Metropolitan ,48722.6602,26907.3691,26406.9004,29647.0508,29647.0508,105277.0801,56053.9512,201532
2012-2013,Central Goldfields,Grampians Central West ,2502,1414.4,1343.7,167.28,167.28,4083.68,1510.98,10311
2012-2013,Colac-Otway,Barwon South West ,3346,1793.3,1605,2580,2324,7719.3,3929,17522
2012-2013,Corangamite,Barwon South West ,1876,1407,1223.8,1474,1474,4757,2697.8,13394
2012-2013,Darebin,Metropolitan ,26611,15259.1299,15259.1299,10475,10475,52345.1299,25734.1299,118565
2012-2013,East Gippsland,Gippsland ,4112,5500,4507,5000,5000,14612,9507,36281
2012-2013,Frankston,Metropolitan ,24395,16008,15311.6504,12381,12317.5,52784,27629.1504,103815
2012-2013,Gannawarra,Loddon Mallee ,2348,1364.76,1250,0,0,3712.76,1250,8920
2012-2013,Glen Eira,Metropolitan ,26968,13772,13772,8300.34,8300.34,49040.34,22072.34,111597
2012-2013,Glenelg,Barwon South West ,2804.0601,1652.6801,1085.33,0,0,4456.7402,1085.33,16754
2012-2013,Golden Plains,Grampians Central West ,4945,1853,1737,0,0,6798,1737,14395
2012-2013,Greater Bendigo,Loddon Mallee ,27150,10571,9740,0,0,37721,9740,83100
2012-2013,Greater Dandenong,Metropolitan ,30501,11784,11784,15100,13687,57385,25471,110794
2012-2013,Greater Geelong,Barwon South West ,42529,27785.1895,27785.1895,29021,29021,99335.1895,56806.1895,178780
2012-2013,Greater Shepparton,Goulburn Valley ,13346,6582.2202,6582.2202,5417,5253,25345.2202,11835.2202,48988
2012-2013,Hepburn,Grampians Central West ,2880,1000,900,0,0,3880,900,12180
2012-2013,Hindmarsh,Grampians Central West ,1387.8199,596.36,527.72,0,0,1984.1799,527.72,4754
2012-2013,Hobsons Bay,Metropolitan ,17970.3203,9923.8203,9923.8203,7550.6099,7167.5898,35444.7505,17091.4101,70006
2012-2013,Horsham,Grampians Central West ,5641,1352.65,1099.71,0,0,6993.65,1099.71,15828
2012-2013,Hume,Metropolitan ,39093,16667,14733.5996,5903,5903,61663,20636.5996,134572
2012-2013,Indigo,North East ,2894,1551.2,1551.2,429,429,4874.2,1980.2,12522
2012-2013,Kingston,Metropolitan ,28324,15207,14294,14348,13859,57879,28153,120984
2012-2013,Knox,Metropolitan ,28661,16433,15954,18135,18135,63229,34089,123747
2012-2013,Latrobe,Gippsland ,14440,8572,7632,8500,8500,31512,16132,59755
2012-2013,Loddon,Loddon Mallee ,2090,613.54,613.54,0,0,2703.54,613.54,6243
2012-2013,Macedon Ranges,Loddon Mallee ,8000,4646,4275,3200,3200,15846,7475,33331
2012-2013,Manningham,Metropolitan ,21729,12968.7803,12968.7803,15769.1504,15769.1504,50466.9307,28737.9307,97271
2012-2013,Mansfield,North East ,2425.0701,1139.77,1025.77,0,0,3564.8401,1025.77,6320
2012-2013,Maribyrnong,Metropolitan ,19498.7598,7429.5,7429.5,1815,1700,28743.2598,9129.5,62761
2012-2013,Maroondah,Metropolitan ,19297,11789,10633,13306,13306,44392,23939,85899
2012-2013,Melbourne,Metropolitan ,21362.3906,6830,5552.79,52.42,52.42,28244.8106,5605.21,99376
2012-2013,Melton,Metropolitan ,22203,11059,10285,5628,5499,38890,15784,89195
2012-2013,Mildura,Loddon Mallee ,10210.9805,5575,5575,0,0,15785.9805,5575,41909
2012-2013,Mitchell,Goulburn Valley ,6672,3806.3999,3806.3999,0,0,10478.3999,3806.3999,28736
2012-2013,Moira,Goulburn Valley ,5016,2982,2982,0,0,7998,2982,23560
2012-2013,Monash,Metropolitan ,30597,16532.6797,16532.6797,19377,19377,66506.6797,35909.6797,148733
2012-2013,Moonee Valley,Metropolitan ,21800,14030,12340,7836,7836,43666,20176,93311
2012-2013,Moorabool,Grampians Central West ,5169,3031.0801,2800,0,0,8200.0801,2800,23016
2012-2013,Moreland,Metropolitan ,31587.4805,16420,13922,8876,8276,56883.4805,22198,126349
2012-2013,Mornington Peninsula,Metropolitan ,29688.5,23002,23002,5434.25,5434.25,58124.75,28436.25,121103
2012-2013,Mount Alexander,Loddon Mallee ,2957,1526,1373,0,0,4483,1373,14897
2012-2013,Moyne,Barwon South West ,1707.6,1305.25,1157.65,1412.5,1412.5,4425.35,2570.15,12951
2012-2013,Murrindindi,Goulburn Valley ,2188,1551.46,1551.46,0,0,3739.46,1551.46,11464
2012-2013,Nillumbik,Metropolitan ,6107,7406,7406,7699,0,21212,7406,49153
2012-2013,Northern Grampians,Grampians Central West ,3041,1176,1116,0,0,4217,1116,9682
2012-2013,Port Phillip,Metropolitan ,20834,12074.4463,10420.2402,0,0,32908.4463,10420.2402,89256
2012-2013,Pyrenees,Grampians Central West ,1830,480.25,444.68,90,90,2400.25,534.68,5622
2012-2013,Queenscliffe,Barwon South West ,1322,499.42,499.42,81,81,1902.42,580.42,2803
2012-2013,South Gippsland,Gippsland ,4002,2051.5,1887.4,0,0,6053.5,1887.4,22373
2012-2013,Southern Grampians,Barwon South West ,2138,1347,1347,0,0,3485,1347,13619
2012-2013,Stonnington,Metropolitan ,19697,10358,10265,3951,3951,34006,14216,88120
2012-2013,Strathbogie,Goulburn Valley ,1742,872.85,872.85,0,0,2614.85,872.85,8266
2012-2013,Surf Coast,Barwon South West ,5778.6401,4492.3999,4492.3999,2731.1001,2731.1001,13002.1401,7223.5,21523
2012-2013,Swan Hill,Loddon Mallee ,3761.1399,1778.41,1349.46,162.9,162.9,5702.4499,1512.36,17131
2012-2013,Towong,North East ,1450,650,650,0,0,2100,650,4978
2012-2013,Wangaratta,North East ,7217.7002,3301.6699,3161.8501,0,0,10519.3701,3161.8501,22601
2012-2013,Warrnambool,Barwon South West ,6052,3884,3884,0,0,9936,3884,26912
2012-2013,Wellington,Gippsland ,6441,4609.7202,4148.77,0,0,11050.7202,4148.77,34309
2012-2013,West Wimmera,Grampians Central West ,989.59,160.46,160.46,0,0,1150.05,160.46,3535
2012-2013,Whitehorse,Metropolitan ,29904,18138.9492,16615.3301,10183,10183,58225.9492,26798.3301,127210
2012-2013,Whittlesea,Metropolitan ,34332.4492,16876.8398,14463.4502,10028.6398,10028.6398,61237.9288,24492.09,133659
2012-2013,Wodonga,North East ,7480.7998,3583.1001,3249,2567,2567,13630.8999,5816,28790
2012-2013,Wyndham,Metropolitan ,37470,16956.9004,16956.9004,5605.4,5605.4,60032.3004,22562.3004,136625
2012-2013,Yarra,Metropolitan ,14458,9023,8326.1504,304,304,23785,8630.1504,72555
2012-2013,Yarra Ranges,Metropolitan ,28953,17227,15527,8219,8219,54399,23746,116239
2012-2013,Yarriambiack,Grampians Central West ,2030,642,600,0,0,2672,600,5974
2013-2014,Alpine,North East ,2777,1573,1510,0,0,4350,1510,10374
2013-2014,Ararat,Grampians Central West ,1797,1812,1812,0,0,3609,1812,9883
2013-2014,Ballarat,Grampians Central West ,22641,10202,8570,832,832,33675,9402,78945
2013-2014,Banyule,Metropolitan ,20181,13407,12443,10565,10565,44153,23008,100652
2013-2014,Bass Coast,Gippsland ,7924.2998,4775.46,3326.3601,0,0,12699.7598,3326.3601,27674
2013-2014,Baw Baw,Gippsland ,7994,4413.8101,3975.6201,4498,4453,16905.8101,8428.6201,35956
2013-2014,Bayside,Metropolitan ,20211.4102,11604.0195,11604.0195,10178,10178,41993.4297,21782.0195,77654
2013-2014,Benalla,North East ,3500,2100,2080,0,0,5600,2080,11475
2013-2014,Boroondara,Metropolitan ,36937,20902.2598,20379.6992,20308.64,20308.64,78147.8998,40688.3392,138257
2013-2014,Brimbank,Metropolitan ,41350,15673,7633,10822,10822,67845,18455,154697
2013-2014,Buloke,Loddon Mallee ,1536,805,805,0,0,2341,805,5330
2013-2014,Campaspe,Goulburn Valley ,9250,4400,4400,1300,1300,14950,5700,30423
2013-2014,Cardinia,Metropolitan ,16230.1201,8432.4805,8432.4805,5363.0098,5363.0098,30025.6104,13795.4903,65579
2013-2014,Casey,Metropolitan ,50768.5117,26722,26722,32134.1406,32134.1406,109624.6523,58856.1406,207085
2013-2014,Central Goldfields,Grampians Central West ,2490,1390.1,1320.5,278,278,4158.1,1598.5,10408
2013-2014,Colac-Otway,Barwon South West ,3756,1985,1826.2,2407,2285,8148,4111.2,17736
2013-2014,Corangamite,Barwon South West ,1951,1405.301,1405,1628,1628,4984.301,3033,13508
2013-2014,Darebin,Metropolitan ,24633,13891.0303,13891.0303,10823,10823,49347.0303,24714.0303,119872
2013-2014,East Gippsland,Gippsland ,6897,3480.3601,3178.27,4072,4072,14449.3601,7250.27,36821
2013-2014,Frankston,Metropolitan ,24519,15763,14421.4502,13499,13499,53781,27920.4502,104979
2013-2014,Gannawarra,Loddon Mallee ,2247,1371.5,1371.5,0,0,3618.5,1371.5,8975
2013-2014,Glen Eira,Metropolitan ,26223,13321.4404,13321.4404,9350.58,9350.58,48895.0204,22672.0204,112149
2013-2014,Glenelg,Barwon South West ,2922.4199,1430.46,1092.6899,0,0,4352.8799,1092.6899,16896
2013-2014,Golden Plains,Grampians Central West ,5341,1710,1710,0,0,7051,1710,14683
2013-2014,Greater Bendigo,Loddon Mallee ,27340,10429,9525,0,0,37769,9525,84364
2013-2014,Greater Dandenong,Metropolitan ,31174,11758,11758,14815,13439,57747,25197,111889
2013-2014,Greater Geelong,Barwon South West ,44093,27057.5996,27057.5996,32603,32603,103753.5996,59660.5996,181593
2013-2014,Greater Shepparton,Goulburn Valley ,12519.8398,8108,8108,8000,7840,28627.8398,15948,49686
2013-2014,Hepburn,Grampians Central West ,1685,1108.74,1108.74,0,0,2793.74,1108.74,12371
2013-2014,Hindmarsh,Grampians Central West ,1524,589.96,483.75,0,0,2113.96,483.75,4753
2013-2014,Hobsons Bay,Metropolitan ,18564.5391,10261.1904,9899.3799,8120.3301,8005.3799,36946.0596,17904.7598,70483
2013-2014,Horsham,Grampians Central West ,5631,1257.0699,999.89,0,0,6888.0699,999.89,15946
2013-2014,Hume,Metropolitan ,40766,16061,14419,6073,6073,62900,20492,138131
2013-2014,Indigo,North East ,3028,1514.9301,1514.9301,535,535,5077.9301,2049.9301,12627
2013-2014,Kingston,Metropolitan ,29864,15398,14498,14830,14818,60092,29316,121886
2013-2014,Knox,Metropolitan ,28728,17082,16580,19157,19157,64967,35737,124762
2013-2014,Latrobe,Gippsland ,14591.3799,8373,7400,9392,9382,32356.3799,16782,60386
2013-2014,Loddon,Loddon Mallee ,2100,824.22,824.22,0,0,2924.22,824.22,6251
2013-2014,Macedon Ranges,Loddon Mallee ,8807.1602,4924.7598,4924.7598,2700,2700,16431.92,7624.7598,34026
2013-2014,Manningham,Metropolitan ,21443.0605,12884.71,12884.71,15480.9402,15480.9402,49808.7107,28365.6502,98046
2013-2014,Mansfield,North East ,2446.1599,1150,1050,0,0,3596.1599,1050,6417
2013-2014,Maribyrnong,Metropolitan ,17253,8000,8000,1800,1800,27053,9800,63991
2013-2014,Maroondah,Metropolitan ,19790,10412,10412,13477,13477,43679,23889,86802
2013-2014,Melbourne,Metropolitan ,24556.2402,7473,6456.6699,49.06,49.06,32078.3002,6505.7299,103484
2013-2014,Melton,Metropolitan ,22785,11277,10431,5870,5733,39932,16164,93072
2013-2014,Mildura,Loddon Mallee ,10556.3896,3488,3488,0,0,14044.3896,3488,42511
2013-2014,Mitchell,Goulburn Valley ,7050,3790,3790,0,0,10840,3790,30041
2013-2014,Moira,Goulburn Valley ,5335.9102,2960.2,2960.2,0,0,8296.1102,2960.2,23905
2013-2014,Monash,Metropolitan ,31628,16675.6895,16675.6895,20437,20437,68740.6895,37112.6895,149703
2013-2014,Moonee Valley,Metropolitan ,23461,12077,10869,6849,6849,42387,17718,94053
2013-2014,Moorabool,Grampians Central West ,5496.3701,2990.8501,2770.8501,0,0,8487.2202,2770.8501,23605
2013-2014,Moreland,Metropolitan ,32571.4004,16550.9492,14135.6299,8915,8747,58037.3496,22882.6299,127639
2013-2014,Mornington Peninsula,Metropolitan ,30947.0996,22552.4805,22552.4805,6752.4,6752.4,60251.9801,29304.8805,122457
2013-2014,Mount Alexander,Loddon Mallee ,3058.3201,1722.98,1550.98,0,0,4781.3001,1550.98,15076
2013-2014,Moyne,Barwon South West ,1730,1330,0,1300,1300,4360,1300,13101
2013-2014,Murrindindi,Goulburn Valley ,2251,1524.84,1524.84,0,0,3775.84,1524.84,11813
2013-2014,Nillumbik,Metropolitan ,6243.5801,7694.2002,7694.2002,7135,1056,21072.7803,8750.2002,49671
2013-2014,Northern Grampians,Grampians Central West ,2349,1205,1205,0,0,3554,1205,9740
2013-2014,Port Phillip,Metropolitan ,21404,11522,10255,0,0,32926,10255,90112
2013-2014,Pyrenees,Grampians Central West ,969.36,380,330,90,90,1439.36,420,5682
2013-2014,Queenscliffe,Barwon South West ,1299,504,504,101.34,101.34,1904.34,605.34,2823
2013-2014,South Gippsland,Gippsland ,4000,1999.95,1840,0,0,5999.95,1840,22529
2013-2014,Southern Grampians,Barwon South West ,3500,1631,1631,320,320,5451,1951,13717
2013-2014,Stonnington,Metropolitan ,20974,10236,9921,3780,3780,34990,13701,89127
2013-2014,Strathbogie,Goulburn Valley ,1734,874.33,874.33,0,0,2608.33,874.33,8319
2013-2014,Surf Coast,Barwon South West ,5935.54,4269.79,4269.79,2989.3799,2989.3799,13194.7099,7259.1699,22013
2013-2014,Swan Hill,Loddon Mallee ,3914.45,1843.29,1359.61,207.66,207.66,5965.4,1567.27,17297
2013-2014,Towong,North East ,1722,652.18,600,0,0,2374.18,600,5014
2013-2014,Wangaratta,North East ,8249.0195,3420.49,3219.6899,0,0,11669.5095,3219.6899,22718
2013-2014,Warrnambool,Barwon South West ,5721,3540,2935,0,0,9261,2935,27388
2013-2014,Wellington,Gippsland ,6879,6207.98,5587.1802,0,0,13086.98,5587.1802,34525
2013-2014,West Wimmera,Grampians Central West ,953,180,162,0,0,1133,162,3543
2013-2014,Whitehorse,Metropolitan ,28763,18045,16529,12901,12901,59709,29430,127834
2013-2014,Whittlesea,Metropolitan ,34974,17565,14790,11338,11338,63877,26128,139000
