Reference_Year,WRRG,landFill,recyclingTotal,recyclingProcessed,gardenTotal,gardenProcessed,wasteTotal,wasteProcessed,Estimated_Adult_Population
2014,Metropolitan ,855004.8887,434797.0405,406995.7006,309348.2103,308117.1403,1599150.14,715112.8409,3505347
2015,Metropolitan ,860554.5103,435098.3219,408707.0216,304924.37,302465.18,1600577.202,711172.2016,3578208
2007,North East ,25755,11624.33,10119.8199,2031.7,2031.7,39411.03,12151.5199,119940
2008,North East ,25819.95,12273.4499,10827.07,1570.5,1570.5,39663.8999,12397.57,121271
2009,North East ,25734.51,12835.8301,11151.8399,2252,2252,40822.3401,13403.8399,93913
2010,North East ,27904.0601,14232.45,12270.73,2361,2361,44497.5101,14631.73,95198
2011,North East ,26972.3403,14430.8601,12661.5601,2669,2669,44072.2004,15330.5601,95874
2012,North East ,27249.9102,13793.74,12955.2001,2996,2996,44039.6502,15951.2001,96887
2013,North East ,29628.1794,14189.6001,12997.62,3294,3294,47111.7795,16291.62,97873
2014,North East ,27849.7498,14046.0201,13319.4699,3644,3644,45539.7699,16963.4699,93226
2015,North East ,19403.7902,14137.2902,13663.6899,14091.63,13866.2302,47632.7104,27529.9201,93578
