Reference_Year,LGA,WRRG,landFill,recyclingTotal,recyclingProcessed,gardenTotal,gardenProcessed,wasteTotal,wasteProcessed,Estimated_Adult_Population
2001-2002,West Wimmera,Grampians Central West ,538.41,39,39,0,0,577.41,39,
2001-2002,Whitehorse,Metropolitan ,32500,12750.9004,12643.9004,2399,2399,47649.9004,15042.9004,
2001-2002,Whittlesea,Metropolitan ,23426,8693.3496,7981.8398,0,0,32119.3496,7981.8398,
2001-2002,Wodonga,North East ,8745.5996,4549,4049,585,585,13879.5996,4634,
2001-2002,Wyndham,Metropolitan ,20779,5347.0098,5347.0098,166,166,26292.0098,5513.0098,
2001-2002,Yarra,Metropolitan ,13006,6696,6419,230.9,230.9,19932.9,6649.9,
2001-2002,Yarra Ranges,Metropolitan ,28978,10222,8372,1072,1072,40272,9444,
2001-2002,Yarriambiack,Grampians Central West ,1560,0,0,0,0,1560,0,
2002-2003,Alpine,North East ,2604,732,730,0,0,3336,730,
2002-2003,Ararat,Grampians Central West ,4993,482.3,472.49,0,0,5475.3,472.49,
2002-2003,Ballarat,Grampians Central West ,17090,5351,4565,2080,2080,24521,6645,
2002-2003,Banyule,Metropolitan ,18814,10950,10400,5308,5308,35072,15708,
2002-2003,Bass Coast,Gippsland ,5289.1899,2541.5701,2190.3701,0,0,7830.76,2190.3701,
2002-2003,Baw Baw,Gippsland ,6592,1328.649,1109.312,587,587,8507.649,1696.312,
2002-2003,Bayside,Metropolitan ,20810,7764,7565,6700,6700,35274,14265,
2002-2003,Benalla,North East ,3415.8999,1292.4,1253.65,0,0,4708.2999,1253.65,
2002-2003,Boroondara,Metropolitan ,43262,15751,15330,9675,9675,68688,25005,
2002-2003,Brimbank,Metropolitan ,40600,10568,10399,1560,1560,52728,11959,
2002-2003,Buloke,Loddon Mallee ,1776,152,146.3,0,0,1928,146.3,
2002-2003,Campaspe,Goulburn Valley ,12399,971,971,0,0,13370,971,
2002-2003,Cardinia,Metropolitan ,10623,3087,2667,49.6,49.6,13759.6,2716.6,
2002-2003,Casey,Metropolitan ,35567,16482,14221,6836,6836,58885,21057,
2002-2003,Central Goldfields,Grampians Central West ,2500,706.2,639.3,60,60,3266.2,699.3,
2002-2003,Colac-Otway,Barwon South West ,3100,903.5,903.5,2572.2,2572.2,6575.7,3475.7,
2002-2003,Corangamite,Barwon South West ,2236,632.09,632.09,696,645,3564.09,1277.09,
2002-2003,Darebin,Metropolitan ,26991,11381,11118.0098,4466,4466,42838,15584.0098,
2002-2003,East Gippsland,Gippsland ,7700,2961.25,2369,0,0,10661.25,2369,
2002-2003,Frankston,Metropolitan ,18742,10319,8687,3262,3262,32323,11949,
2002-2003,Gannawarra,Loddon Mallee ,3000,1101,1081,0,0,4101,1081,
2002-2003,Glen Eira,Metropolitan ,33008,9965,9872,1800,1602,44773,11474,
2002-2003,Glenelg,Barwon South West ,2600,814,605,0,0,3414,605,
2002-2003,Golden Plains,Grampians Central West ,3505,630,630,0,0,4135,630,
2002-2003,Greater Bendigo,Loddon Mallee ,25283,3790,3604,0,0,29073,3604,
2002-2003,Greater Dandenong,Metropolitan ,31145,11487,9615,0,0,42632,9615,
2002-2003,Greater Geelong,Barwon South West ,30000,17875.9609,16919.4395,6700,6000,54575.9609,22919.4395,
2002-2003,Greater Shepparton,Goulburn Valley ,16373,4998,3062,0,0,21371,3062,
2002-2003,Hepburn,Grampians Central West ,2332,716,710,0,0,3048,710,
2002-2003,Hindmarsh,Grampians Central West ,1017,379.45,223.45,0,0,1396.45,223.45,
2002-2003,Hobsons Bay,Metropolitan ,19251,7069.9702,6832.3398,1943,1943,28263.9702,8775.3398,
2002-2003,Horsham,Grampians Central West ,4981,534.71,434,0,0,5515.71,434,
2002-2003,Hume,Metropolitan ,32000,10015,9741,4122,4122,46137,13863,
2002-2003,Indigo,North East ,2735,789,689.85,0,0,3524,689.85,
2002-2003,Kingston,Metropolitan ,27034,13280,12783,10266,10266,50580,23049,
2002-2003,Knox,Metropolitan ,29450,13747,12991,12000,12000,55197,24991,
2002-2003,Latrobe,Gippsland ,22146.3105,2959,2763,608.8,608.8,25714.1105,3371.8,
2002-2003,Loddon,Loddon Mallee ,1942,0,0,0,0,1942,0,
2002-2003,Macedon Ranges,Loddon Mallee ,6864,3749,3240,0,0,10613,3240,
2002-2003,Manningham,Metropolitan ,21148,12526,11675,10416,10416,44090,22091,
2002-2003,Mansfield,North East ,2000,792.35,792.35,0,0,2792.35,792.35,
2002-2003,Maribyrnong,Metropolitan ,16312,5591,5591,528,528,22431,6119,
2002-2003,Maroondah,Metropolitan ,17529,10204.5,9857.7998,11137,11137,38870.5,20994.7998,
2002-2003,Melbourne,Metropolitan ,15824,3451,3347,24.04,24.04,19299.04,3371.04,
2002-2003,Melton,Metropolitan ,15060,5520.02,4790.6899,0,0,20580.02,4790.6899,
2002-2003,Mildura,Loddon Mallee ,14564.4502,3035.8799,3028.98,0,0,17600.3301,3028.98,
2002-2003,Mitchell,Goulburn Valley ,4950,1339.9,1125.6,0,0,6289.9,1125.6,
2002-2003,Moira,Goulburn Valley ,6579.7002,1718.89,1125.63,0,0,8298.5902,1125.63,
2002-2003,Monash,Metropolitan ,35042,15256.5996,14951.5996,18268,18268,68566.5996,33219.5996,
2002-2003,Moonee Valley,Metropolitan ,37380,7895,7400.96,222,222,45497,7622.96,
2002-2003,Moorabool,Grampians Central West ,4637,1129.29,1129.29,0,0,5766.29,1129.29,
2002-2003,Moreland,Metropolitan ,28175,12842.2998,11517.7002,5304,5304,46321.2998,16821.7002,
2002-2003,Mornington Peninsula,Metropolitan ,38227.1992,13989.7803,13682,353.4,353.4,52570.3795,14035.4,
2002-2003,Mount Alexander,Loddon Mallee ,3700,1290,1290,0,0,4990,1290,
2002-2003,Moyne,Barwon South West ,2336,711.1,501,2740,0,5787.1,501,
2002-2003,Murrindindi,Goulburn Valley ,3228,483,478,0,0,3711,478,
2002-2003,Nillumbik,Metropolitan ,8800,6481,6481,3300,3300,18581,9781,
2002-2003,Northern Grampians,Grampians Central West ,2742.7,928.84,900.52,0,0,3671.54,900.52,
2002-2003,Port Phillip,Metropolitan ,18763,8983,8582,110,110,27856,8692,
2002-2003,Pyrenees,Grampians Central West ,780,193,191.8,0,0,973,191.8,
2002-2003,Queenscliffe,Barwon South West ,1300,456,456,90,90,1846,546,
2002-2003,South Gippsland,Gippsland ,3767,1075,995,0,0,4842,995,
2002-2003,Southern Grampians,Barwon South West ,1170,805.77,796.14,0,0,1975.77,796.14,
2002-2003,Stonnington,Metropolitan ,20540,10466,10313,1200,1200,32206,11513,
2002-2003,Strathbogie,Goulburn Valley ,2040,658.23,658.23,0,0,2698.23,658.23,
2002-2003,Surf Coast,Barwon South West ,6166,2112.71,2091.5801,0,0,8278.71,2091.5801,
2002-2003,Swan Hill,Loddon Mallee ,3900,2436.45,1711.11,40,40,6376.45,1751.11,
2002-2003,Towong,North East ,1803,249,215,0,0,2052,215,
2002-2003,Wangaratta,North East ,7200,1363,1363,0,0,8563,1363,
2002-2003,Warrnambool,Barwon South West ,5193.1201,2269,2041,0,0,7462.1201,2041,
2002-2003,Wellington,Gippsland ,5523,2476.1001,2340.55,0,0,7999.1001,2340.55,
2002-2003,West Wimmera,Grampians Central West ,538,103.9,103.9,0,0,641.9,103.9,
2002-2003,Whitehorse,Metropolitan ,30373,13810.5,13657.5,2330,2330,46513.5,15987.5,
2002-2003,Whittlesea,Metropolitan ,23444,9759.7002,8917.3604,1883,1883,35086.7002,10800.3604,
2002-2003,Wodonga,North East ,8973,2056,1758.3,644,644,11673,2402.3,
